1,Rohit Sharma,Batsman
2,Ishan Kishan,Wicket keeper
3,Suryakumar yadav,Batsman
4,Dewald Brevis,Batsman
5,Tilak Verma,Batsman
6,Ramandeep Singh,Batsman
7,Tristan Stubbs,Batsman
8,Tim David,Batsman
9,Arjun Tendulkar,All Rounder
10,Jofra Archer,All Rounder
11,Cameron Green,All Rounder
12,Mohd Arshad Khan,All Rounder
13,Nehal Wadhera,All Rounder
14,Jasprit Bumrah,Bowler
15,Piyush Chawala,Bowler
16,Jason Behrendroff,Bowler
17,Hrithik Shokeen,Bowler
18,Chris Jordan,Bowler
19,Deepak Chahar,Bowler
20,Kumar Kartikeya Singh,Bowler